site,sp._tree,n_trees,sp._seedling,other_sp._tree,treatment,LUI,seedling,Goat,Trenches,N_goat,trenchArea,no_trenches,trench-length,trench-width,No1,No2,No3,No4,No5,No6,No7,No8,No9,No10,No11,No12,No13,No14,No15,No16,No17,No18,No19,No20,No21,No22,No23,No24,No25,No26,No27,No28,No29,No30,No31,No32,No33,No34,No35,No36,No37,No38,No39,No40,No41,No42,No43,No44,No45,No46,No47,No48,No49,No50,No51,No52,No53,No54,No55,No56,57,58,59,data-trench-image_t,data-image_end,data-image_start,data-soil_erosion,data-lopping,data-fuelwood,data-fire19,data-trench-type,groundcover_bodha,data-latlong,tree_sp.,,,site
APC3_Control,4,11,4,0,moderate,0.17,77,0.35,0,30,0,,,,50,160,200,187,198,267,215,198,42,261,260,65,210,224,312,230,220,65,287,289,87,36,100,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=1uNFKSK2adSqAYvA_ohBYaVXnMB2zCwIw,https://drive.google.com/open?id=12Pmh6JeOEuo0Gp7P1CeBD5tqc7liODdU,?sheet erosion,no,no,yes,,50,"13.8281798,78.4130279",,,,APA6bgrnf
APC5_CPFA,7,14,5,2,dense,0.17,38,0.35,0,30,0,,,,189,98,76,191,167,187,154,172,187,186,56,193,187,178,206,201,304,90,195,302,314,203,198,301,287,98,234,189,195,187,100,187,76,298,98,97,98,187,198,67,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=17Rn2SprMM9a8ApGq0DKGGbTo93W2Hdt5,https://drive.google.com/open?id=1Vua5biaMWQ9Yc-BB4ORpVrCVhNksN5Yw,no,no,no,yes,ST,30,"13.814052,78.4189745",,,,
APC5_CAFA,4,8,1,3,open,0.21,238,0.35,0.07,30,0.54,1,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=1XjqWmhNeRhi2ZpTMIQf4iQlCI5K_E2Rx,https://drive.google.com/open?id=139-2PBiCq16QpeBpvlHNgD-0UjcSfr90,?sheet erosion,no,no,yes,,,"13.8055188,78.414211",,,,APC8ab
APA6_Control,5,8,5,0,moderate,0.23,287,0.46,0,40,0,,,,189,176,210,156,215,176,145,123,40,103,156,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=1uWWwLs4dFdrf8K3NNWTipKIVMy7rI1OF,https://drive.google.com/open?id=1w2-rLb9altEy6-znLd7cqWcoByAg1uPr,?rill erosion,no,no,yes,,20,"14.0319316,78.3795128",,,,APA6ab
APA6_CAFA,7,9,5,2,open,0.23,472,0.46,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=1WIM6qM2ETD978Mi25C3fJfTozaEYv04A,https://drive.google.com/open?id=1IBWclIp3exKGaMSe-hLY2UZyLyspy-Ur,?sheet erosion,no,no,yes,,,"14.0301261,78.384653",,,,APC3bgrnf
APA21_CPFA,3,6,3,0,dense,0.29,25,0.58,0,50,0,,,,177,170,193,62,213,282,87,186,205,163,289,83,308,286,221,216,93,317,243,265,212,315,316,127,273,341,298,276,189,190,278,298,314,89,317,216,317,321,315,279,216,301,278,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=1KWfvWNtZZp2Mi9Z_0fVtwybP3To3Mt5F,https://drive.google.com/open?id=1HchRdZIvKykXvapJRxPWD20wztAsQfrO,no,no,no,yes,ST,,"14.008993,78.320323",,,,APA8bgrnf
APC3_CAFA,6,14,6,0,open,0.36,283,0.35,0.36,30,2.7,1,2.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=1bbLudatoFj5OYbYkHhANXlsvW6j4cJz4,https://drive.google.com/open?id=1m9-_tYtWS_Yye9w1LRo9C-9e4xU7nBJv,https://drive.google.com/open?id=1i5T6gvGmHXS8OXG8_OvZyErOmU700EUK,no,no,no,yes,ST,,"13.8287861,78.4132304",,,,APC5bgrnf
APA1_CAFA,4,13,7,-3,open,0.38,67,0.75,0,65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=11cfI_Br51eNbXnT2dGsK0pZkmHJP085G,https://drive.google.com/open?id=19IjkgNTvQ4qlg_LngJMxB_FKgUCtg0mX,no,no,no,yes,,,"14.0699872,78.3181766",,,,APA7bgrnf
APA8_CAFA,6,8,4,2,open,0.41,243,0.81,0,70,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=19q39pjE4QYrlKUTpEedJyprirwjgKU3v,https://drive.google.com/open?id=13IZQNn0ZrfikusXLYYnfDGFsTUe4VytW,?sheet erosion,no,no,yes,,,"14.0211606,78.381132",,,,APA16bgrnf
APC13_CPFA,0,0,2,-2,dense,0.41,3,0.81,0,70,0,,,,113,98,109,198,98,49,174,193,103,90,198,268,341,234,231,175,214,65,215,219,178,218,147,112,115,178,187,183,200,116,314,298,326,341,285,287,272,265,300,314,294,382,244,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=1MefINYg-S8dh2-jz4uDkxPBc27yyKHc0,,https://drive.google.com/open?id=1f_oScIHyO6qZfVyQjPm2FDoj2TJdLR7b,?rill erosion,no,no,yes,,80,"13.9065674,78.5020117",,,,APC7bgpnf
