site_code,sapling_name,sapling_tag_no,treatment,type_recruit,Note on revisit,sapling_coordinate,sapling_altitude,sapling_coordinate-accuracy,sapling_height (cm),sapling_rcd (cm),sapling_line_to_sapling (m),sapling_to_sapling (m),sapling_disturbance,PARENT_KEY,KEY,site
APC11,Albizia amara,1389,bodha_grass_removed_no_fire,clonal offspring,,"13.83854918,78.41062857",509.2296753,4.288,100,0.9,5,1,none,uuid:9a5a4b85-8fb8-4992-b130-6b0315bd0041,uuid:9a5a4b85-8fb8-4992-b130-6b0315bd0041/sapling_repeat[15],APC11bodha_grass_removed_no_fire
APC12,Acacia chundra,4696,bodha_grass_present_no_fire,clonal offspring,,"13.89258037,78.41393356",433,4.5509996,100,1,2.3,7,none,uuid:21ad8535-3e2e-4066-88cc-bec794453533,uuid:21ad8535-3e2e-4066-88cc-bec794453533/sapling_repeat[17],APC12bodha_grass_present_no_fire
APA16,Acacia chundra,4783,bodha_grass_removed_no_fire,seedling recruitment,,"14.11626597,78.34036942",400.512207,4.288,100,1.1,2.5,6,none,uuid:3edaa534-46c6-41e7-a507-38160aa7c0ed,uuid:3edaa534-46c6-41e7-a507-38160aa7c0ed/sapling_repeat[5],APA16bodha_grass_removed_no_fire
APA21,Premna tomentosa,4928,bodha_grass_removed_no_fire,clonal offspring,,"14.00862278,78.32078662",508.2138672,4.288,100,1.2,6,2.5,none,uuid:ef0b3dfd-cd35-42cc-beeb-a634df745637,uuid:ef0b3dfd-cd35-42cc-beeb-a634df745637/sapling_repeat[24],APA21bodha_grass_removed_no_fire
APC3,Chloroxylon swietenia,1303,all_burnt,clonal offspring,,"13.82823689,78.41299543",466.6804199,4.288,100,1.4,6,5,none,uuid:9dabc10a-b600-4608-9698-a8ccb38fe0e4,uuid:9dabc10a-b600-4608-9698-a8ccb38fe0e4/sapling_repeat[4],APC3all_burnt
APA19,Chloroxylon swietenia,1005,bodha_grass_removed_no_fire,seedling recruitment,,"14.05083,78.32462333333334",577.5,5,100,1.5,4,4.5,none,uuid:b534d176-bf85-411a-a5ae-8b722ebe957d,uuid:b534d176-bf85-411a-a5ae-8b722ebe957d/sapling_repeat[6],APA19bodha_grass_removed_no_fire
APC12,Acacia chundra,4661,bodha_grass_removed_no_fire,clonal offspring,,"13.89427909,78.41307833",433.71521,3.216,100,1.5,8,5,none,uuid:70a61ec4-f34d-4439-bcfa-cfd967f07df4,uuid:70a61ec4-f34d-4439-bcfa-cfd967f07df4/sapling_repeat[4],APC12bodha_grass_removed_no_fire
APC1,Dolichandrone atrovirens,1061,bodha_grass_present_no_fire,clonal offspring,,"13.85041415,78.44364852",486.6148071,4.288,100,1.7,6,10,none,uuid:a332e100-79f6-41db-9d9f-0482892368f4,uuid:a332e100-79f6-41db-9d9f-0482892368f4/sapling_repeat[5],APC1bodha_grass_present_no_fire
APC3,Chloroxylon swietenia,1309,all_burnt,clonal offspring,,"13.82797396,78.41312501",463.7039185,4.288,100,1.7,8,0.5,none,uuid:9dabc10a-b600-4608-9698-a8ccb38fe0e4,uuid:9dabc10a-b600-4608-9698-a8ccb38fe0e4/sapling_repeat[10],APC3all_burnt
APC12,Acacia chundra,4665,bodha_grass_removed_no_fire,seedling recruitment,,"13.89436792,78.41309852",429.7231445,4.288,100,1.8,1.3,5,none,uuid:70a61ec4-f34d-4439-bcfa-cfd967f07df4,uuid:70a61ec4-f34d-4439-bcfa-cfd967f07df4/sapling_repeat[8],APC12bodha_grass_removed_no_fire
APC1,Dolichandrone atrovirens,1018,bodha_grass_removed_no_fire,clonal offspring,,"13.84878474,78.42887722",457,4.288,100,2.1,0.9,1.2,none,uuid:aeb680bf-0d6c-465a-b898-46f2dd43a01e,uuid:1bba5eee-3eda-4d8a-ba40-2a8f3bb568f7/sapling_repeat[8],APC1bodha_grass_removed_no_fire
APC5,Dolichandrone atrovirens,1369,bodha_grass_present_no_fire,seedling recruitment,,"13.81436862,78.41909819",448.112915,3.216,100,2.2,9.5,20,none,uuid:fbd147db-7b17-4081-9500-41386984a897,uuid:fbd147db-7b17-4081-9500-41386984a897/sapling_repeat[3],APC5bodha_grass_present_no_fire
