Seedlings,CAFA,Control,CPFA
Dolichandrone atrovirens,1034,404,90
Albizia amara,240,0,31
Dalbergia paniculata,219,38,34
Pongamia pinnata,128,0,8
Chloroxylon swietenia,93,56,63
Butea monosperma,76,0,
Senna siamea,62,0,
Acacia chundra,48,37,59
Lannea coromandelica,40,0,
Azadirachta indica,27,19,29
Annona squamosa,26,0,
Gyrocarpus americanus,26,0,
Wrightia tinctoria,26,15,1
Gardenia gummifera,15,0,
Holoptelea integrifolia,8,0,
Diospyros montana,4,0,0
Acacia nilotica,2,7,
Erythroxylum monogynum,2,0,
Cassia fistula,1,6,7
