Name,Control,CPFA,CAFA
Dolichandrone atrovirens,142,46,252
Cassia fistula,22,5,24
Acacia chundra,20,49,41
Chloroxylon swietenia,15,22,33
Dalbergia paniculata,11,6,36
Wrightia tinctoria,9,13,30
Azadirachta indica,4,1,17
Acacia leucophloea,2,,
Carissa carandas,2,,1
Tectona grandis,2,7,55
Dalbergia sissoo,1,,
Gardenia gummifera,1,1,1
Ziziphus mauritiana,1,1,5
Acacia nilotica,,,1
Albizia amara,,,6
Annona squamosa,,,2
Butea monosperma,,,12
Diospyros montana,,,4
Erythroxylum monogynum,,5,1
Eucalyptus globulus,,1,
Gyrocarpus americanus,,,4
Hardwickia binata,,6,1
Holoptelea integrifolia,,,9
Limonia acidissima,,,12
Morinda pubescens,,2,
Pongamia pinnata,,9,23
Premna tomentosa,,1,6
Sapindus emarginatus,,,1
Syzygium cumini,,,4
Tamarindus indica,,,6
