"","sci.name","lat","long","altitude","treatment"
"1","Albizia amara","13.83854918","78.41062857",509.2296753,"CAFA"
"2","Acacia chundra","13.89258037","78.41393356",433,"CPFA"
"3","Acacia chundra","14.11626597","78.34036942",400.512207,"CAFA"
"4","Premna tomentosa","14.00862278","78.32078662",508.2138672,"CAFA"
"5","Chloroxylon swietenia","13.82823689","78.41299543",466.6804199,"Control"
"6","Chloroxylon swietenia","14.05083","78.32462333333334",577.5,"CAFA"
"7","Acacia chundra","13.89427909","78.41307833",433.71521,"CAFA"
"8","Dolichandrone atrovirens","13.85041415","78.44364852",486.6148071,"CPFA"
"9","Chloroxylon swietenia","13.82797396","78.41312501",463.7039185,"Control"
"10","Acacia chundra","13.89436792","78.41309852",429.7231445,"CAFA"
"11","Dolichandrone atrovirens","13.84878474","78.42887722",457,"CAFA"
"12","Dolichandrone atrovirens","13.81436862","78.41909819",448.112915,"CPFA"
"13","Wrightia tinctoria","13.80485887","78.4140766",502.9812622,"CAFA"
"14","Dolichandrone atrovirens","13.85290966","78.44287443",498.2650146,"Control"
"15","Dolichandrone atrovirens","13.85285745","78.4430988",490.7625122,"Control"
"16","Dolichandrone atrovirens","13.86943859","78.41782078",419.3275146,"Control"
"17","Acacia chundra","13.85314888","78.44343009",508.0626221,"Control"
"18","Chloroxylon swietenia","14.050971666666666","78.32478333333333",577.1,"CAFA"
"19","Chloroxylon swietenia","14.051026666666667","78.32470833333333",612.4,"CAFA"
"20","Chloroxylon swietenia","14.050896666666665","78.32466166666667",580.1,"CAFA"
"21","Dolichandrone atrovirens","13.81484379","78.41885363",449.6091309,"CPFA"
"22","Annona squamosa","14.069881666666667","78.318305",554,"CAFA"
"23","Acacia chundra","13.89417284","78.41325793",433.293457,"CAFA"
"24","Chloroxylon swietenia","14.050848333333333","78.32467166666667",576.2,"CAFA"
"25","Acacia chundra","13.82879849","78.41297814",443.362915,"CAFA"
"26","Dolichandrone atrovirens","13.93969688","78.49325261",463,"CAFA"
"27","Acacia chundra","13.85039357","78.4437867",503.470459,"CPFA"
"28","Dolichandrone atrovirens","14.11820992","78.33499569",417.7387085,"CAFA"
"29","Dolichandrone atrovirens","14.11804803","78.33334396",392.491333,"CPFA"
"30","Dolichandrone atrovirens","13.82876857","78.41301368",450.9958496,"CAFA"
"31","Wrightia tinctoria","13.81440616","78.41906531",451.7733154,"CPFA"
"32","Dolichandrone atrovirens","13.93981397","78.49371608",466,"CAFA"
"33","Acacia chundra","13.85035228","78.44377532",503.5070801,"CPFA"
"34","Dolichandrone atrovirens","14.11816252","78.3335273",393.6987305,"CPFA"
"35","Acacia chundra","13.84578222","78.44874165",514.9238892,"CPFA"
"36","Dolichandrone atrovirens","14.1185286","78.33474729",410.0886841,"CAFA"
"37","Wrightia tinctoria","14.064646666666667","78.3197",533,"CAFA"
"38","Acacia chundra","13.89259261","78.41367279",424,"CPFA"
"39","Chloroxylon swietenia","14.050988333333331","78.32476333333334",553.4,"CAFA"
"40","Chloroxylon swietenia","13.9429603","78.50781456",402,"CPFA"
"41","Tectona grandis","13.84885622","78.42865609",453,"CAFA"
"42","Acacia chundra","13.82816881","78.41302805",457.6098633,"Control"
"43","Acacia chundra","13.89257826","78.41369359",421,"CPFA"
"44","Chloroxylon swietenia","13.827943","78.41315171",464.0305786,"Control"
"45","Dolichandrone atrovirens","13.84578011","78.44865076",518.6365967,"CPFA"
"46","Chloroxylon swietenia","13.82822893","78.4129917",468.9816895,"Control"
"47","Wrightia tinctoria","14.0085842","78.32100089",508.6052246,"CAFA"
"48","Dalbergia paniculata","13.87383017","78.52806262",432,"CAFA"
"49","Chloroxylon swietenia","14.050931666666667","78.32475500000001",553.5,"CAFA"
"50","Tectona grandis","13.89217722","78.48074591",459,"CPFA"
"51","Acacia chundra","13.85034774","78.44376958",499.8048706,"CPFA"
"52","Acacia chundra","13.89375902","78.41328801",438.1040649,"CAFA"
"53","Dolichandrone atrovirens","13.94029685","78.49542394",465,"CAFA"
"54","Acacia chundra","14.11815193","78.33377573",397.0795898,"CPFA"
"55","Dolichandrone atrovirens","13.85276864","78.44247787",473.8406982,"Control"
"56","Wrightia tinctoria","14.07263248","78.36363974",409,"CPFA"
"57","Holoptelia intergrifolia","14.0302022","78.38464939",401,"CAFA"
"58","Dolichandrone atrovirens","13.94021201","78.49544936",474,"CAFA"
"59","Dolichandrone atrovirens","14.11824334","78.33376724",392.4125977,"CPFA"
"60","Dolichandrone atrovirens","13.85300688","78.44266937",502.2700195,"Control"
"61","Tectona grandis","13.89542321","78.47717073",424,"CAFA"
"62","Dolichandrone atrovirens","13.93970242","78.49313342",459,"CAFA"
"63","Dolichandrone atrovirens","14.1181866","78.33391041",384.5213013,"CPFA"
"64","Dolichandrone atrovirens","13.83766606","78.41065047",505.4089355,"Control"
"65","Dolichandrone atrovirens","13.93949778","78.49320559",473,"CAFA"
"66","Dolichandrone atrovirens","13.85298664","78.44304528",500.4345703,"Control"
"67","Dolichandrone atrovirens","13.94040239","78.49545898",468,"CAFA"
"68","Dolichandrone atrovirens","13.94021302","78.49536349",471,"CAFA"
"69","Wrightia tinctoria","14.01898639","78.3825757",436,"CAFA"
"70","Dolichandrone atrovirens","13.93971062","78.49360617",473,"CAFA"
"71","Cassia fistula","14.02234942","78.38155426",448,"CAFA"
"72","Dolichandrone atrovirens","13.93988839","78.4938573",467,"CAFA"
"73","Premna tomentosa","14.00860273","78.32078378",506.6862793,"CAFA"
"74","Acacia chundra","13.89434758","78.41321076",439.7043457,"CAFA"
