"Treatment","village","site","Species","disturbance","rgrH","rgr_rcd","sap_health"
"Control","APA20","APA20_Control","Dolichandrone atrovirens","none",0.435318071257846,0.496436886313891,1
"Control","APA20","APA20_Control","Dolichandrone atrovirens","none",1.17007125265025,0.864997437486604,1
"Control","APA20","APA20_Control","Chloroxylon swietenia","none",0.60077386042893,0.441832752279039,1
"Control","APA20","APA20_Control","Dolichandrone atrovirens","none",0.177681177237452,0.182321556793955,1
"Control","APA20","APA20_Control","Dalbergia paniculata","none",0.26053108338583,0.287682072451781,1
"Control","APA20","APA20_Control","Dalbergia paniculata","none",1.95479909647256,0,1
"Control","APC3","APC3_Control","Dolichandrone atrovirens","none",1.46358603542154,0.916290731874155,1
"Control","APC3","APC3_Control","Chloroxylon swietenia","none",0.524524468124153,0.0571584138399487,1
"Control","APC3","APC3_Control","Chloroxylon swietenia","none",0.182321556793955,0,1
"Control","APC1","APC1_Control","Dolichandrone atrovirens","none",0.317240874693326,0.276253376628158,1
"Control","APC8","APC8_Control","Wrightia tinctoria","none",0.0571584138399484,0.653926467406664,1
"Control","APC8","APC8_Control","Dolichandrone atrovirens","none",1.64412347042199,0.379489621704904,1
"Control","APC8","APC8_Control","Wrightia tinctoria","none",0.615185639090233,0.741937344729377,1
"Control","APC8","APC8_Control","Dolichandrone atrovirens","none",0.728238500371215,1.09861228866811,1
"Control","APC8","APC8_Control","Dolichandrone atrovirens","none",1.32913594727994,0.255933374137201,1
"Control","APA6","APA6_Control","Dolichandrone atrovirens","none",1.43508452528932,0,1
"Control","APA7","APA7_Control","Cassia fistula","none",1.45861502269952,0.182321556793955,1
"Control","APA7","APA7_Control","Cassia fistula","none",0.390866308687012,0.287682072451781,1
"Control","APC6","APC6_Control","Dolichandrone atrovirens","none",1.69459572077441,0.287682072451781,1
"Control","APC6","APC6_Control","Dolichandrone atrovirens","none",0.0370412716803492,0.313657558855042,1
"Control","APC6","APC6_Control","Dolichandrone atrovirens","none",0.280902385466402,0.538996500732687,1
"Control","APC6","APC6_Control","Dolichandrone atrovirens","none",1.96165850602345,2.68557734525015,1
"Control","APC6","APC6_Control","Dolichandrone atrovirens","none",0.359374000907898,0.336472236621213,1
"Control","APC6","APC6_Control","Dolichandrone atrovirens","none",0.47351857135318,0.19782574332992,1
"Control","APA12","APA12_Control","Dalbergia paniculata","none",0.968559160419912,1.09861228866811,1
"Control","APA12","APA12_Control","Cassia fistula","none",1.07613943281605,1.89711998488588,1
"Control","APA12","APA12_Control","Dalbergia paniculata","none",1.2947271675944,1.38629436111989,1
"Control","APA12","APA12_Control","Dalbergia paniculata","none",0.538996500732687,0.510825623765991,1
"Control","APA12","APA12_Control","Dalbergia paniculata","none",1.28093384546206,1.6094379124341,1
"Control","APA12","APA12_Control","Wrightia tinctoria","none",0.572519192771331,1.09861228866811,1
"Control","APC12","APC12_Control","Dolichandrone atrovirens","none",0.194156014440957,0.693147180559945,1
"Control","APC12","APC12_Control","Dolichandrone atrovirens","none",0.0540672212702757,0.336472236621213,1
"Control","APC10","APC10_Control","Cassia fistula","none",1.28785428830664,0,1
"Control","APC10","APC10_Control","Acacia chundra","none",0.693147180559945,1.29928298413026,1
