"treatment","village","site","sci.name","tag.no","h1","rcd1","disturbance","h0","rcd0","LUI","rgr"
"Control","APA19","APA19_Control","Dolichandrone atrovirens",1044,30,2.6,"browsed",20,2.6,1.42,0
"Control","APA19","APA19_Control","Dolichandrone atrovirens",1045,62,1.3,"none",34,0.6,1.42,0.773189888233482
"Control","APA19","APA19_Control","Dolichandrone atrovirens",1046,18,0.8,"browsed",24,0.5,1.42,0.470003629245736
"Control","APA19","APA19_Control","Dolichandrone atrovirens",1047,34,3,"browsed",66,1.9,1.42,0.456758402495715
"Control","APA19","APA19_Control","Dolichandrone atrovirens",1048,14,0.5,"browsed",16,0.3,1.42,0.510825623765991
"Control","APA19","APA19_Control","Dolichandrone atrovirens",1050,20,1.9,"browsed",50,1.3,1.42,0.379489621704904
"Control","APA19","APA19_Control","Dolichandrone atrovirens",1051,22,2.2,"partly_dried",40,1.7,1.42,0.2578291093021
"Control","APA19","APA19_Control","Dolichandrone atrovirens",1052,12,0.7,"browsed",30,0.4,1.42,0.559615787935423
"Control","APA19","APA19_Control","Dolichandrone atrovirens",1053,12,0.5,"browsed",19,0.3,1.42,0.510825623765991
"Control","APA19","APA19_Control","Dolichandrone atrovirens",1054,23,1.4,"none",23,1.3,1.42,0.0741079721537218
"Control","APA19","APA19_Control","Dolichandrone atrovirens",1055,12,0.7,"browsed",15,0.4,1.42,0.559615787935423
"Control","APA19","APA19_Control","Dolichandrone atrovirens",1056,9,0.7,"browsed",19,0.4,1.42,0.559615787935423
"Control","APA19","APA19_Control","Dolichandrone atrovirens",1057,42,1.4,"none",30,0.4,1.42,1.25276296849537
"Control","APA19","APA19_Control","Dolichandrone atrovirens",1058,16,1,"browsed",31,0.5,1.42,0.693147180559945
"Control","APA19","APA19_Control","Cassia fistula",1059,28,1,"none",17,0.2,1.42,1.6094379124341
"Control","APA20","APA20_Control","Dolichandrone atrovirens",1069,74,2.6,"none",69,2.4,1.12,0.0800427076735365
