site_code,treatment,site,sci.name,no_seedling
APA6,CAFA,APA6_CAFA,Dolichandrone atrovirens,375
APC8,Control,APC8_Control,Dolichandrone atrovirens,283
APA6,Control,APA6_Control,Dolichandrone atrovirens,258
APC3,CAFA,APC3_CAFA,Albizia amara,239
APC5,CAFA,APC5_CAFA,Dolichandrone atrovirens,238
APA8,CAFA,APA8_CAFA,Dalbergia paniculata,145
APA16,CAFA,APA16_CAFA,Dolichandrone atrovirens,135
APC4,CAFA,APC4_CAFA,Dolichandrone atrovirens,88
APA19,CAFA,APA19_CAFA,Chloroxylon swietenia,88
APA7,CAFA,APA7_CAFA,Dolichandrone atrovirens,83
APC7,CPFA,APC7_CPFA,Chloroxylon swietenia,63
APC3,Control,APC3_Control,Chloroxylon swietenia,56
APA7,CPFA,APA7_CPFA,Dolichandrone atrovirens,53
APA6,CAFA,APA6_CAFA,Senna siamea,50
APA8,CAFA,APA8_CAFA,Butea monosperma,42
APA1,CAFA,APA1_CAFA,Lannea coromandelica,40
APA6,CAFA,APA6_CAFA,Pongamia pinnata,33
APA8,CAFA,APA8_CAFA,Pongamia pinnata,32
APC5,CPFA,APC5_CPFA,Albizia amara,31
APC7,CPFA,APC7_CPFA,Acacia chundra,31
APA20,Control,APA20_Control,Dalbergia paniculata,27
APC3,CAFA,APC3_CAFA,Acacia chundra,26
APC7,CPFA,APC7_CPFA,Azadirachata indica,24
APC9,CAFA,APC9_CAFA,Pongamia pinnata,23
APA21,CPFA,APA21_CPFA,Dalbergia paniculata,22
APA20,CAFA,APA20_CAFA,Gyrocarpus americanus,21
APC4,CPFA,APC4_CPFA,Dolichandrone atrovirens,20
APC10,Control,APC10_Control,Acacia chundra,18
APC2,CAFA,APC2_CAFA,Pongamia pinnata,18
APC8,CAFA,APC8_CAFA,Pongamia pinnata,18
APA21,CAFA,APA21_CAFA,Dalbergia paniculata,18
APC3,Control,APC3_Control,Azadirachata indica,17
APA19,Control,APA19_Control,Dolichandrone atrovirens,15
APA7,CAFA,APA7_CAFA,Dolichandrone atrovirens,15
APC4,CPFA,APC4_CPFA,Acacia chundra,15
APA8,CAFA,APA8_CAFA,Dolichandrone atrovirens,12
APA6,Control,APA6_Control,Acacia chundra,12
APA8,CAFA,APA8_CAFA,Dolichandrone atrovirens,12
APA7,CAFA,APA7_CAFA,Butea monosperma,12
APA7,CAFA,APA7_CAFA,Senna siamea,12
APA18,CPFA,APA18_CPFA,Cassia fistula,4
APA1,CAFA,APA1_CAFA,Gardenia gummifera,12
APC1,CAFA,APC1_CAFA,Dolichandrone atrovirens,11
APA17,CAFA,APA17_CAFA,Acacia chundra,11
APA19,CAFA,APA19_CAFA,Dalbergia paniculata,11
APA7,CAFA,APA7_CAFA,Annona squamosa,10
APC9,CAFA,APC9_CAFA,Azadirachata indica,10
APA1,CAFA,APA1_CAFA,Dalbergia paniculata,9
APA18,CAFA,APA18_CAFA,Dolichandrone atrovirens,9
APC14,CAFA,APC14_CAFA,Dolichandrone atrovirens,9
APC3,CAFA,APC3_CAFA,Azadirachata indica,8
APC9,CAFA,APC9_CAFA,Butea monosperma,8
APA17,CPFA,APA17_CPFA,Acacia chundra,8
APA1,Control,APA1_Control,Dolichandrone atrovirens,8
APC2,CPFA,APC2_CPFA,Pongamia pinnata,7
APA6,Control,APA6_Control,Acacia nilotica,7
APC1,Control,APC1_Control,Dolichandrone atrovirens,7
APA6,Control,APA6_Control,Wrightia tinctoria,7
APA7,CAFA,APA7_CAFA,Dalbergia paniculata,7
APA7,CAFA,APA7_CAFA,Wrightia tinctoria,7
APC8,CAFA,APC8_CAFA,Azadirachata indica,7
APA6,CAFA,APA6_CAFA,Acacia chundra,7
APA6,CAFA,APA6_CAFA,Annona squamosa,7
APC4,Control,APC4_Control,Dolichandrone atrovirens,7
APA19,CAFA,APA19_CAFA,Dolichandrone atrovirens,6
APC3,CAFA,APC3_CAFA,Chloroxylon swietenia,5
APA17,CAFA,APA17_CAFA,Dolichandrone atrovirens,5
APA21,CAFA,APA21_CAFA,Annona squamosa,5
APA20,CAFA,APA20_CAFA,Dalbergia paniculata,5
APA5,CAFA,APA5_CAFA,Butea monosperma,5
APC13,CAFA,APC13_CAFA,Diospyros montana,4
APC1,Control,APC1_Control,Acacia chundra,4
APC3,CAFA,APC3_CAFA,Dolichandrone atrovirens,4
APA12,CAFA,APA12_CAFA,Dalbergia paniculata,4
APC8,CAFA,APC8_CAFA,Butea monosperma,4
APC5,CPFA,APC5_CPFA,Azadirachata indica,4
APA18,CPFA,APA18_CPFA,Cassia fistula,1
APC1,CPFA,APC1_CPFA,Acacia chundra,4
APA1,Control,APA1_Control,Dalbergia paniculata,4
APC10,Control,APC10_Control,Dolichandrone atrovirens,3
APA6,Control,APA6_Control,Cassia fistula,3
APC2,CAFA,APC2_CAFA,Butea monosperma,3
APC2,CAFA,APC2_CAFA,Diospyros montana,3
APC13,CAFA,APC13_CAFA,Gardenia gummifera,3
APA18,CAFA,APA18_CAFA,Dalbergia paniculata,3
APA12,Control,APA12_Control,Dalbergia paniculata,3
APC10,CAFA,APC10_CAFA,Gyrocarpus americanus,3
APC3,Control,APC3_Control,Acacia chundra,3
APA18,CPFA,APA18_CPFA,Dalbergia paniculata,12
APA7,Control,APA7_Control,Cassia fistula,3
APC10,Control,APC10_Control,Dolichandrone atrovirens,3
APA20,CAFA,APA20_CAFA,Holoptelia intergrifolia,3
APA15,CPFA,APA15_CPFA,Butea monosperma,3
APC2,CPFA,APC2_CPFA,Gardenia gummifera,2
APC13,CAFA,APC13_CAFA,Dolichandrone atrovirens,2
APA12,Control,APA12_Control,Wrightia tinctoria,2
APA21,CPFA,APA21_CPFA,Gyrocarpus americanus,2
APC8,Control,APC8_Control,Azadirachata indica,2
APA1,CAFA,APA1_CAFA,Dalbergia paniculata,2
APC10,CAFA,APC10_CAFA,Acacia chundra,2
APC10,CAFA,APC10_CAFA,Annona squamosa,2
APC10,CAFA,APC10_CAFA,Butea monosperma,2
APC13,CPFA,APC13_CPFA,Cassia fistula,2
APA18,CPFA,APA18_CPFA,Dolichandrone atrovirens,3
APA18,CPFA,APA18_CPFA,Gyrocarpus americanus,2
APC1,CPFA,APC1_CPFA,Erythroxylum monogynum,2
APC1,CPFA,APC1_CPFA,Dolichandrone atrovirens,2
APA20,CAFA,APA20_CAFA,Annona squamosa,2
APA19,CAFA,APA19_CAFA,Erythroxylum monogynum,2
APA19,CAFA,APA19_CAFA,Pongamia pinnata,2
APA1,Control,APA1_Control,Wrightia tinctoria,2
APA19,Control,APA19_Control,Wrightia tinctoria,1
APA1,CAFA,APA1_CAFA,Acacia chundra,1
APC13,CAFA,APC13_CAFA,Holoptelia intergrifolia,1
APA18,CAFA,APA18_CAFA,Wrightia tinctoria,1
APC3,CAFA,APC3_CAFA,Wrightia tinctoria,1
