"","site","village","sci.name","tag.no","treatment","recruit.type","height","rcd","lat","long","altitude","disturbance"
"1","Apc11_CAFA","Apc11","Albizia amara",1389,"CAFA","clonal offspring",100,0.9,"13.83854918","78.41062857",509.2296753,"none"
"2","Apc12_CPFA","Apc12","Acacia chundra",4696,"CPFA","clonal offspring",100,1,"13.89258037","78.41393356",433,"none"
"3","APA16_CAFA","APA16","Acacia chundra",4783,"CAFA","seedling recruitment",100,1.1,"14.11626597","78.34036942",400.512207,"none"
"4","APA21_CAFA","APA21","Premna tomentosa",4928,"CAFA","clonal offspring",100,1.2,"14.00862278","78.32078662",508.2138672,"none"
"5","APC3_Control","APC3","Chloroxylon swietenia",1303,"Control","clonal offspring",100,1.4,"13.82823689","78.41299543",466.6804199,"none"
"6","APA19_CAFA","APA19","Chloroxylon swietenia",1005,"CAFA","seedling recruitment",100,1.5,"14.05083","78.32462333333334",577.5,"none"
"7","APC12_CAFA","APC12","Acacia chundra",4661,"CAFA","clonal offspring",100,1.5,"13.89427909","78.41307833",433.71521,"none"
"8","APC1_CPFA","APC1","Dolichandrone atrovirens",1061,"CPFA","clonal offspring",100,1.7,"13.85041415","78.44364852",486.6148071,"none"
"9","APC3_Control","APC3","Chloroxylon swietenia",1309,"Control","clonal offspring",100,1.7,"13.82797396","78.41312501",463.7039185,"none"
"10","APC12_CAFA","APC12","Acacia chundra",4665,"CAFA","seedling recruitment",100,1.8,"13.89436792","78.41309852",429.7231445,"none"
"11","APC1_CAFA","APC1","Dolichandrone atrovirens",1018,"CAFA","clonal offspring",100,2.1,"13.84878474","78.42887722",457,"none"
"12","APC5_CPFA","APC5","Dolichandrone atrovirens",1369,"CPFA","seedling recruitment",100,2.2,"13.81436862","78.41909819",448.112915,"none"
"13","APC5_CAFA","APC5","Wrightia tinctoria",1347,"CAFA","clonal offspring",100,2.3,"13.80485887","78.4140766",502.9812622,"none"
"14","APC1_Control","APC1","Dolichandrone atrovirens",1412,"Control","clonal offspring",100,2.7,"13.85290966","78.44287443",498.2650146,"none"
"15","APC1_Control","APC1","Dolichandrone atrovirens",1417,"Control","clonal offspring",100,2.9,"13.85285745","78.4430988",490.7625122,"none"
"16","APC12_Control","APC12","Dolichandrone atrovirens",4967,"Control","clonal offspring",100,2.9,"13.86943859","78.41782078",419.3275146,"none"
"17","APC1_Control","APC1","Acacia chundra",1400,"Control","clonal offspring",100,3,"13.85314888","78.44343009",508.0626221,"none"
"18","APA19_CAFA","APA19","Chloroxylon swietenia",1015,"CAFA","clonal offspring",99,1,"14.050971666666666","78.32478333333333",577.1,"none"
"19","APA19_CAFA","APA19","Chloroxylon swietenia",1000,"CAFA","seedling recruitment",99,2.1,"14.051026666666667","78.32470833333333",612.4,"none"
"20","APA19_CAFA","APA19","Chloroxylon swietenia",1002,"CAFA","clonal offspring",99,2.2,"14.050896666666665","78.32466166666667",580.1,"none"
"21","APC5_CPFA","APC5","Dolichandrone atrovirens",1372,"CPFA","seedling recruitment",98,1.1,"13.81484379","78.41885363",449.6091309,"none"
"22","APA2_CAFA","APA2","Annona squamosa",1127,"CAFA","seedling recruitment",98,1.3,"14.069881666666667","78.318305",554,"none"
"23","APC12_CAFA","APC12","Acacia chundra",4669,"CAFA","clonal offspring",98,1.3,"13.89417284","78.41325793",433.293457,"none"
