,site,village,treatment,tag.no,sci.name,dead.alive,height,rcd,disturbance,flame.height,type.resprout
1,APC6_CAFA,APC6,CAFA,1372,Dolichandrone atrovirens,alive,164,40,none,0,regular_growth
2,APC6_CAFA,APC6,CAFA,1340,Dolichandrone atrovirens,alive,100,23,none,0,regular_growth
3,APC6_CAFA,APC6,CAFA,1378,Dolichandrone atrovirens,alive,115,25,none,0,regular_growth
4,APC6_CAFA,APC6,CAFA,1394,Dolichandrone atrovirens,alive,150,32,none,0,regular_growth
5,APC6_CAFA,APC6,CAFA,1383,Dolichandrone atrovirens,alive,68,21,none,0,regular_growth
6,APC6_CAFA,APC6,CAFA,1397,Dolichandrone atrovirens,alive,67,22,none,0,regular_growth
7,APC6_CAFA,APC6,CAFA,1390,Dolichandrone atrovirens,alive,94,24,none,0,regular_growth
8,APC6_CAFA,APC6,CAFA,1395,Dolichandrone atrovirens,alive,195,32,none,0,regular_growth
9,APC6_CAFA,APC6,CAFA,1389,Dolichandrone atrovirens,alive,99,23,none,0,regular_growth
10,APC6_CAFA,APC6,CAFA,1393,Dolichandrone atrovirens,alive,135,41,none,0,regular_growth
11,APC6_CAFA,APC6,CAFA,1382,Dolichandrone atrovirens,alive,82,19,none,0,regular_growth
12,APC6_CAFA,APC6,CAFA,1399,Dolichandrone atrovirens,alive,60,20,none,0,regular_growth
13,APC6_CAFA,APC6,CAFA,1380,Dolichandrone atrovirens,alive,134,23,none,0,regular_growth
14,APC6_CAFA,APC6,CAFA,1388,Dolichandrone atrovirens,alive,112,22,none,0,regular_growth
15,APC6_CAFA,APC6,CAFA,1391,Dolichandrone atrovirens,alive,66,28,none,0,regular_growth
16,APC6_CAFA,APC6,CAFA,1392,Dolichandrone atrovirens,dead,NA,NA,drought,0,NA
17,APC6_CAFA,APC6,CAFA,1384,Dolichandrone atrovirens,alive,86,24,none,0,regular_growth
18,APC6_CAFA,APC6,CAFA,1376,Dolichandrone atrovirens,alive,33,4,none,0,regular_growth
19,APC6_CAFA,APC6,CAFA,1342,Dolichandrone atrovirens,alive,69,23,none,0,regular_growth
20,APC6_CAFA,APC6,CAFA,1345,Dolichandrone atrovirens,alive,95,25,none,0,regular_growth
21,APC6_CAFA,APC6,CAFA,1385,Dolichandrone atrovirens,alive,83,25,none,0,regular_growth
22,APC6_CAFA,APC6,CAFA,1387,Dolichandrone atrovirens,alive,58,19,none,0,regular_growth
23,APC6_CAFA,APC6,CAFA,1381,Dolichandrone atrovirens,alive,68,19,none,0,regular_growth
24,APC6_CAFA,APC6,CAFA,1396,Dolichandrone atrovirens,alive,98,20,none,0,regular_growth
25,APC6_CAFA,APC6,CAFA,1300,Dolichandrone atrovirens,alive,76,23,none,0,regular_growth
26,APC6_CAFA,APC6,CAFA,1377,Dolichandrone atrovirens,alive,38,5,drought,0,collar
27,APC6_CAFA,APC6,CAFA,1344,Dolichandrone atrovirens,alive,117,29,none,0,regular_growth
28,APC6_CAFA,APC6,CAFA,1374,Dolichandrone atrovirens,alive,160,30,none,0,regular_growth
29,APC6_CAFA,APC6,CAFA,1379,Dolichandrone atrovirens,alive,210,41,none,0,regular_growth
30,APC6_CAFA,APC6,CAFA,1373,Dolichandrone atrovirens,alive,52,6,drought,0,collar
31,APC6_CAFA,APC6,CAFA,1353,Dolichandrone atrovirens,alive,85,22,none,0,regular_growth
32,APC6_CAFA,APC6,CAFA,1367,Dolichandrone atrovirens,alive,69,6,drought,0,collar
33,APC6_CAFA,APC6,CAFA,1365,Dolichandrone atrovirens,alive,154,39,none,0,regular_growth
34,APC6_CAFA,APC6,CAFA,1364,Dolichandrone atrovirens,alive,113,23,none,0,regular_growth
35,APC6_CAFA,APC6,CAFA,1366,Dolichandrone atrovirens,dead,NA,NA,drought,0,NA
36,APC6_CAFA,APC6,CAFA,1343,Dolichandrone atrovirens,alive,79,29,none,0,regular_growth
37,APC6_CAFA,APC6,CAFA,1333,Dolichandrone atrovirens,alive,130,33,none,0,regular_growth
38,APC6_CAFA,APC6,CAFA,1352,Dolichandrone atrovirens,alive,120,23,none,0,regular_growth
39,APC6_CAFA,APC6,CAFA,1351,Dolichandrone atrovirens,alive,127,25,none,0,regular_growth
40,APC6_CAFA,APC6,CAFA,1350,Dolichandrone atrovirens,alive,174,28,none,0,regular_growth
41,APC6_CAFA,APC6,CAFA,1303,Dolichandrone atrovirens,dead,NA,NA,drought,0,NA
42,APC6_CAFA,APC6,CAFA,1371,Dolichandrone atrovirens,alive,48,20,none,0,regular_growth
43,APC6_CAFA,APC6,CAFA,1336,Dolichandrone atrovirens,alive,110,24,none,0,regular_growth
44,APC6_CAFA,APC6,CAFA,1338,Dolichandrone atrovirens,alive,135,23,none,0,regular_growth
45,APC6_CAFA,APC6,CAFA,1341,Dolichandrone atrovirens,alive,64,19,none,0,regular_growth
46,APC6_CAFA,APC6,CAFA,1369,Dolichandrone atrovirens,alive,128,30,none,0,regular_growth
47,APC6_CAFA,APC6,CAFA,1368,Dolichandrone atrovirens,alive,58,10,drought,0,collar
48,APC6_CAFA,APC6,CAFA,1370,Dolichandrone atrovirens,alive,50,19,none,0,regular_growth
49,APC6_CAFA,APC6,CAFA,1347,Dolichandrone atrovirens,dead,NA,NA,drought,0,NA
50,APC6_CAFA,APC6,CAFA,1337,Dolichandrone atrovirens,alive,130,29,none,0,regular_growth
51,APC6_CAFA,APC6,CAFA,1335,Dolichandrone atrovirens,alive,122,30,none,0,regular_growth
52,APC6_CAFA,APC6,CAFA,1332,Dolichandrone atrovirens,alive,74,22,none,0,regular_growth
53,APC6_CAFA,APC6,CAFA,1348,Dolichandrone atrovirens,alive,90,24,none,0,regular_growth
54,APC6_CAFA,APC6,CAFA,1361,Dolichandrone atrovirens,alive,49,4,drought,0,collar
55,APC6_CAFA,APC6,CAFA,4574,Dolichandrone atrovirens,alive,184,31,none,0,regular_growth
56,APC6_CAFA,APC6,CAFA,4575,Dolichandrone atrovirens,alive,110,31,none,0,regular_growth
57,APC6_CAFA,APC6,CAFA,1307,Dolichandrone atrovirens,alive,110,23,none,0,regular_growth
58,APC6_CAFA,APC6,CAFA,1302,Dolichandrone atrovirens,alive,59,19,none,0,regular_growth
59,APC6_CAFA,APC6,CAFA,1308,Dolichandrone atrovirens,alive,56,23,none,0,regular_growth
60,APC6_CAFA,APC6,CAFA,1322,Dolichandrone atrovirens,alive,69,29,none,0,regular_growth
61,APC6_CAFA,APC6,CAFA,1323,Dolichandrone atrovirens,alive,46,16,drought,0,collar
62,APC6_CAFA,APC6,CAFA,1306,Dolichandrone atrovirens,alive,50,17,none,0,regular_growth
63,APC6_CAFA,APC6,CAFA,1324,Dolichandrone atrovirens,alive,124,24,none,0,regular_growth
64,APC6_CAFA,APC6,CAFA,1325,Dolichandrone atrovirens,alive,83,24,none,0,regular_growth
65,APC6_CAFA,APC6,CAFA,1326,Dolichandrone atrovirens,alive,58,22,none,0,regular_growth
66,APC6_CAFA,APC6,CAFA,1305,Dolichandrone atrovirens,alive,66,22,none,0,regular_growth
67,APC6_CAFA,APC6,CAFA,1327,Dolichandrone atrovirens,alive,60,29,none,0,regular_growth
68,APC6_CAFA,APC6,CAFA,1301,Dolichandrone atrovirens,alive,67,29,none,0,regular_growth
69,APC6_CAFA,APC6,CAFA,1331,Dolichandrone atrovirens,alive,68,26,none,0,regular_growth
70,APC6_CAFA,APC6,CAFA,4579,Dolichandrone atrovirens,alive,73,26,none,0,regular_growth
71,APC6_CAFA,APC6,CAFA,4573,Dolichandrone atrovirens,alive,116,29,none,0,regular_growth
72,APC6_CAFA,APC6,CAFA,1309,Dolichandrone atrovirens,alive,214,30,none,0,regular_growth
73,APC6_CAFA,APC6,CAFA,1313,Dolichandrone atrovirens,alive,77,19,none,0,regular_growth
74,APC6_CAFA,APC6,CAFA,1312,Dolichandrone atrovirens,alive,150,24,none,0,regular_growth
75,APC6_CAFA,APC6,CAFA,1330,Dolichandrone atrovirens,alive,83,23,none,0,regular_growth
76,APC6_CAFA,APC6,CAFA,1314,Dolichandrone atrovirens,alive,87,29,none,0,regular_growth
77,APC6_CAFA,APC6,CAFA,4578,Dolichandrone atrovirens,dead,NA,NA,drought,0,NA
78,APC6_CAFA,APC6,CAFA,1311,Dolichandrone atrovirens,alive,65,29,none,0,regular_growth
79,APC6_CAFA,APC6,CAFA,1358,Dolichandrone atrovirens,alive,74,8,browsed,0,collar
80,APC6_CAFA,APC6,CAFA,1310,Dolichandrone atrovirens,alive,146,35,none,0,regular_growth
81,APC6_CAFA,APC6,CAFA,1360,Dolichandrone atrovirens,alive,42,19,none,0,regular_growth
82,APC6_CAFA,APC6,CAFA,1357,Dolichandrone atrovirens,alive,68,23,none,0,regular_growth
83,APC6_CAFA,APC6,CAFA,1359,Dolichandrone atrovirens,alive,90,28,none,0,regular_growth
84,APC6_CAFA,APC6,CAFA,1328,Dolichandrone atrovirens,alive,70,30,none,0,regular_growth
85,APC6_CAFA,APC6,CAFA,1356,Dolichandrone atrovirens,alive,131,32,none,0,regular_growth
86,APC6_CAFA,APC6,CAFA,1315,Dolichandrone atrovirens,alive,106,32,none,0,regular_growth
87,APC6_CAFA,APC6,CAFA,1317,Dolichandrone atrovirens,alive,58,20,none,0,regular_growth
88,APC6_CAFA,APC6,CAFA,1321,Dolichandrone atrovirens,alive,50,15,none,0,regular_growth
89,APC6_CAFA,APC6,CAFA,1318,Pongamia pinnata,alive,49,19,none,0,regular_growth
90,APC6_CAFA,APC6,CAFA,1363,Dolichandrone atrovirens,alive,60,16,none,0,regular_growth
91,APC6_CAFA,APC6,CAFA,4572,Dolichandrone atrovirens,dead,NA,NA,drought,0,NA
92,APC6_CAFA,APC6,CAFA,1362,Dolichandrone atrovirens,dead,NA,NA,drought,0,NA
93,APC6_CAFA,APC6,CAFA,1304,Dolichandrone atrovirens,dead,NA,NA,drought,0,NA
94,APC6_CAFA,APC6,CAFA,1319,Dolichandrone atrovirens,dead,NA,NA,drought,0,NA
95,APC6_CAFA,APC6,CAFA,1354,Dolichandrone atrovirens,dead,NA,NA,drought,0,NA
96,APC7_CAFA,APC7,CAFA,4570,Dolichandrone atrovirens,alive,35,13,none,0,regular_growth
97,APC7_CAFA,APC7,CAFA,4571,Dolichandrone atrovirens,alive,69,26,none,0,regular_growth
98,APC7_CAFA,APC7,CAFA,4521,Dolichandrone atrovirens,alive,91,29,none,0,regular_growth
99,APC7_CAFA,APC7,CAFA,4510,Dolichandrone atrovirens,alive,70,24,none,0,regular_growth
100,APC7_CAFA,APC7,CAFA,4559,Dolichandrone atrovirens,alive,38,17,none,0,regular_growth
101,APC7_CAFA,APC7,CAFA,4560,Dolichandrone atrovirens,alive,46,11,none,0,regular_growth
102,APC7_CAFA,APC7,CAFA,4563,Dolichandrone atrovirens,alive,95,33,none,0,regular_growth
103,APC7_CAFA,APC7,CAFA,4576,Dolichandrone atrovirens,alive,95,32,none,0,regular_growth
104,APC7_CAFA,APC7,CAFA,4561,Dolichandrone atrovirens,alive,73,22,none,0,regular_growth
105,APC7_CAFA,APC7,CAFA,4558,Dolichandrone atrovirens,alive,95,29,none,0,regular_growth
106,APC7_CAFA,APC7,CAFA,4557,Dolichandrone atrovirens,alive,63,20,none,0,regular_growth
107,APC7_CAFA,APC7,CAFA,4556,Dolichandrone atrovirens,alive,98,21,none,0,regular_growth
108,APC7_CAFA,APC7,CAFA,4555,Dolichandrone atrovirens,alive,195,38,none,0,regular_growth
